"UK3CB_BAF_6Rnd_30mm_L21A1_APDS","30mm APDS"
"UK3CB_BAF_H_Mk7_Camo_E","Helmet Mk7 MTP (E) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_F","Helmet Mk7 MTP (F) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_ESS_A","Helmet Mk7 MTP ESS (A) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_ESS_B","Helmet Mk7 MTP ESS (B) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_ESS_C","Helmet Mk7 MTP ESS (C) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_ESS_D","Helmet Mk7 MTP ESS (D) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_CESS_A","Helmet Mk7 MTP {ESS} (A) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_CESS_B","Helmet Mk7 MTP {ESS} (B) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_CESS_C","Helmet Mk7 MTP {ESS} (C) [BAF]"
"UK3CB_BAF_H_Mk7_Camo_CESS_D","Helmet Mk7 MTP {ESS} (D) [BAF]"
"UK3CB_BAF_H_Mk7_Net_A","Helmet Mk7 MTP Net (A) [BAF]"
"UK3CB_BAF_H_Mk7_Net_B","Helmet Mk7 MTP Net (B) [BAF]"
"UK3CB_BAF_H_Mk7_Net_C","Helmet Mk7 MTP Net (C) [BAF]"
"UK3CB_BAF_H_Mk7_Net_D","Helmet Mk7 MTP Net (D) [BAF]"
"UK3CB_BAF_H_Mk7_Net_ESS_A","Helmet Mk7 MTP Net ESS (A) [BAF]"
"UK3CB_BAF_H_Mk7_Net_ESS_B","Helmet Mk7 MTP Net ESS (B) [BAF]"
"UK3CB_BAF_H_Mk7_Net_ESS_C","Helmet Mk7 MTP Net ESS (C) [BAF]"
"UK3CB_BAF_H_Mk7_Net_ESS_D","Helmet Mk7 MTP Net ESS (D) [BAF]"
"UK3CB_BAF_H_Mk7_Net_CESS_A","Helmet Mk7 MTP Net {ESS} (A) [BAF]"
"UK3CB_BAF_H_Mk7_Net_CESS_B","Helmet Mk7 MTP Net {ESS} (B) [BAF]"
"UK3CB_BAF_H_Mk7_Net_CESS_C","Helmet Mk7 MTP Net {ESS} (C) [BAF]"
"UK3CB_BAF_H_Mk7_Net_CESS_D","Helmet Mk7 MTP Net {ESS} (D) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_A","Helmet Mk7 MTP Scrim (A) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_B","Helmet Mk7 MTP Scrim (B) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_C","Helmet Mk7 MTP Scrim (C) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_D","Helmet Mk7 MTP Scrim (D) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_E","Helmet Mk7 MTP Scrim (E) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_F","Helmet Mk7 MTP Scrim (F) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_ESS_A","Helmet Mk7 MTP Scrim ESS (A) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_ESS_B","Helmet Mk7 MTP Scrim ESS (B) [BAF]"
"UK3CB_BAF_H_Mk7_Scrim_ESS_C","Helmet Mk7 MTP Scrim ESS (C) [BAF]"
"UK3CB_BAF_H_Mk7_Win_A","Helmet Mk7 Arctic [BAF]"
"UK3CB_BAF_H_Mk7_Win_ESS_A","Helmet Mk7 Arctic ESS [BAF]"
"UK3CB_BAF_H_Mk7_HiVis","Helmet Mk7 Hi-Vis [BAF]"
"UK3CB_BAF_H_CrewHelmet_A","Crew Helmet MTP [BAF]"
"UK3CB_BAF_H_CrewHelmet_ESS_A","Crew Helmet MTP ESS [BAF]"
"UK3CB_BAF_H_PilotHelmetHeli_A","Heli Pilot Helmet (A) [BAF]"
"UK3CB_BAF_H_Mk6_DDPM_A","Helmet Mk6 DDPM (A) [BAF]"
"UK3CB_BAF_H_Mk6_DDPM_B","Helmet Mk6 DDPM (B) [BAF]"
"UK3CB_BAF_H_Mk6_DDPM_C","Helmet Mk6 DDPM Net (A) [BAF]"
"UK3CB_BAF_H_Mk6_DDPM_D","Helmet Mk6 DDPM Net ESS (A) [BAF]"
"UK3CB_BAF_H_Mk6_DDPM_E","Helmet Mk6 DDPM Net ESS (B) [BAF]"
"UK3CB_BAF_H_Mk6_DDPM_F","Helmet Mk6 DDPM Net ESS (C) [BAF]"
"UK3CB_BAF_H_CrewHelmet_B","Crew Helmet Uncovered [BAF]"
"UK3CB_BAF_H_CrewHelmet_DDPM_A","Crew Helmet DDPM [BAF]"
"UK3CB_BAF_H_CrewHelmet_DDPM_ESS_A","Crew Helmet DDPM ESS [BAF]"
"UK3CB_BAF_H_Mk6_DPMW_A","Helmet Mk6 DPM Wdl (A) [BAF]"
"UK3CB_BAF_H_Mk6_DPMW_B","Helmet Mk6 DPM Wdl (B) [BAF]"
"UK3CB_BAF_H_Mk6_DPMW_C","Helmet Mk6 DPM Wdl Net (A) [BAF]"
"UK3CB_BAF_H_Mk6_DPMW_D","Helmet Mk6 DPM Wdl Net ESS (A) [BAF]"
"UK3CB_BAF_H_Mk6_DPMW_E","Helmet Mk6 DPM Wdl Net ESS (B) [BAF]"
"UK3CB_BAF_H_Mk6_DPMW_F","Helmet Mk6 DPM Wdl Net ESS (C) [BAF]"
"UK3CB_BAF_H_CrewHelmet_DPMW_A","Crew Helmet DPM Wdl [BAF]"
"UK3CB_BAF_H_CrewHelmet_DPMW_ESS_A","Crew Helmet DPM Wdl ESS [BAF]"
"UK3CB_BAF_H_Mk6_DPMT_A","Helmet Mk6 DPM Tmp (A) [BAF]"
"UK3CB_BAF_H_Mk6_DPMT_B","Helmet Mk6 DPM Tmp (B) [BAF]"
"UK3CB_BAF_H_Mk6_DPMT_C","Helmet Mk6 DPM Tmp Net (A) [BAF]"
"UK3CB_BAF_H_Mk6_DPMT_D","Helmet Mk6 DPM Tmp Net ESS (A) [BAF]"
"UK3CB_BAF_H_Mk6_DPMT_E","Helmet Mk6 DPM Tmp Net ESS (B) [BAF]"
"UK3CB_BAF_H_Mk6_DPMT_F","Helmet Mk6 DPM Tmp Net ESS (C) [BAF]"
"UK3CB_BAF_H_CrewHelmet_DPMT_A","Crew Helmet DPM Tmp ESS [BAF]"
